[x^4 + 0*x^2*z^2 + 1*x*z^3 - y^3*z + 1*z^4]
2,0,0,0
5,0,2,0
7,-2,0,0
11,0,-5,0
13,-1,-6,2
17,0,5,0
19,0,-7,-2
23,0,9,0
29,0,-9,0
31,2,12,3
37,8,10,-3
41,0,-11,0
43,15,-19,11
47,0,-16,0
53,0,2,0
59,0,-17,0
61,-12,-14,-4
67,17,22,5
71,0,33,0
73,10,0,0
79,-5,32,35
83,0,-36,0
89,0,42,0
97,15,37,13
101,0,40,0
103,0,43,-48
107,0,-37,0
109,-14,6,-18
113,0,50,0
127,19,18,-32
131,0,18,0
137,0,-65,0
139,13,-26,-9
149,0,-3,0
151,-9,52,58
157,-22,-13,30
163,41,-72,45
167,0,-62,0
173,0,34,0
179,0,-22,0
181,30,-16,50
191,0,-30,0
193,15,61,-31
197,0,-30,0
199,-16,86,-20
211,-1,97,-25
223,-5,-34,44
227,0,94,0
233,0,-101,0
239,0,41,0
241,26,96,-109
251,0,-91,0
257,0,-74,0
263,0,-14,0
269,0,47,0
271,-12,91,37
277,-12,-133,-11
281,0,-140,0
283,-19,79,-137
293,0,34,0
307,18,91,97
311,0,35,0
313,56,103,22
317,0,-79,0
331,58,-118,-4
337,-12,-69,116
347,0,70,0
349,5,173,-67
353,0,-34,0
359,0,117,0
367,3,-111,-152
373,21,-94,-153
379,20,-67,-6
383,0,93,0
389,0,-163,0
397,-6,84,-12
401,0,2,0
409,-18,102,-84
419,0,0,0
421,-15,181,128
431,0,150,0
433,12,-49,-211
439,-28,-66,-43
443,0,74,0
449,0,131,0
457,-9,91,-52
461,0,-117,0
463,-18,162,-22
467,0,-229,0
479,0,114,0
487,37,216,179
491,0,191,0
499,-10,48,-9
503,0,190,0
509,0,37,0
521,0,65,0
523,-55,227,-118
541,-10,-233,-14
547,38,-183,-119
557,0,-24,0
563,0,-148,0
569,0,-278,0
571,-29,156,74
577,49,-11,114
587,0,68,0
593,0,-216,0
599,0,152,0
601,-41,-135,-179
607,-73,-273,-54
613,34,273,-272
617,0,233,0
619,23,270,269
631,45,-1,164
641,0,269,0
643,56,90,206
647,0,16,0
653,0,-273,0
659,0,207,0
661,24,300,-311
673,9,288,4
677,0,48,0
683,0,310,0
691,20,237,-194
701,0,-177,0
709,-22,120,280
719,0,-39,0
727,-65,42,-67
733,30,339,119
739,89,-120,-190
743,0,-7,0
751,-6,-348,-82
757,0,-378,104
761,0,357,0
769,-12,49,-98
773,0,-139,0
787,-51,182,-119
797,0,241,0
809,0,53,0
811,-41,60,92
821,0,218,0
823,14,378,-166
827,0,-299,0
829,-2,-241,-202
839,0,412,0
853,-32,-299,49
857,0,-183,0
859,51,337,-10
863,0,-225,0
877,7,332,-90
881,0,140,0
883,-51,-122,195
887,0,384,0
907,11,401,220
911,0,-368,0
919,-51,-198,131
929,0,-39,0
937,-13,439,450
941,0,151,0
947,0,135,0
953,0,-27,0
967,122,-270,181
971,0,-330,0
977,0,435,0
983,0,323,0
991,9,309,249
997,-57,-415,52
1009,80,275,293
1013,0,227,0
1019,0,-364,0
1021,-32,-244,339
1031,0,-256,0
1033,55,492,-229
1039,-5,-220,122
1049,0,-295,0
1051,-40,-235,176
1061,0,99,0
1063,-16,279,-273
1069,-60,-408,304
1087,63,-435,189
1091,0,130,0
1093,-5,-190,532
1097,0,513,0
1103,0,4,0
1109,0,119,0
1117,-22,-115,-94
1123,49,358,336
1129,30,113,-511
